date,article_count,mean_compound,median_compound,std_compound,min_compound,max_compound,pct_negative,pct_positive,weighted_compound,sent_ema3,sent_ema10,sent_momentum,dominant_sentiment,spy_close,spy_return_1d,spy_gap_pct,spy_range_pct,spy_return_5d,spy_return_20d,qqq_close,qqq_return_1d,qqq_gap_pct,qqq_range_pct,qqq_return_5d,qqq_return_20d,dia_close,dia_return_1d,dia_gap_pct,dia_range_pct,dia_return_5d,dia_return_20d,vix_close,vix_pct_chg,market_direction,spy_return_next1d,spy_up_next1d,qqq_return_next1d,qqq_up_next1d,dia_return_next1d,dia_up_next1d,vix_regime,sent_quantile_60d,rolling_corr_60d,sent_compound_L1,sent_neg_pct_L1,sent_momentum_L1,sent_compound_L2,sent_neg_pct_L2,sent_momentum_L2,sent_compound_L3,sent_neg_pct_L3,sent_momentum_L3,sent_compound_L4,sent_neg_pct_L4,sent_momentum_L4,sent_compound_L5,sent_neg_pct_L5,sent_momentum_L5,sent_rolling_mean_5d,sent_rolling_std_5d,neg_pct_rolling_5d,sent_rolling_mean_10d,sent_rolling_std_10d,neg_pct_rolling_10d,sent_rolling_mean_20d,sent_rolling_std_20d,neg_pct_rolling_20d,spy_return_L1,spy_return_L2,spy_return_L3,vix_L1,vix_change_1d,vix_regime_code,sent_x_vix,sent_x_article_count,article_count_zscore,day_of_week,sent_sign_change
2020-03-16,1,-0.9042,-0.9042,,-0.9042,-0.9042,1.0,0.0,-0.9042,-0.9042,-0.9042,0.0,negative,219.19114685058594,-10.94,-10.45,7.26,-12.540000000000001,-28.95,163.1576690673828,-11.98,-9.46,8.07,-12.540000000000001,-27.85,181.23837280273438,-12.76,-11.03,7.24,-15.18,-31.06,82.69000244140625,42.99,-1,-2.98,0.0,-3.44,0.0,-3.8699999999999997,0.0,extreme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-74.7683,-0.9042,,0,1
2020-03-27,1,-0.1921,-0.1921,,-0.1921,-0.1921,1.0,0.0,-0.1921,-0.5482,-0.7747,0.2266,negative,232.95416259765625,-2.98,-3.04,3.74,10.76,-13.96,178.95774841308594,-3.44,-2.59,3.05,8.780000000000001,-9.77,194.2245635986328,-3.8699999999999997,-3.3099999999999996,3.8600000000000003,12.740000000000002,-14.760000000000002,65.54000091552734,7.4399999999999995,-1,-2.44,0.0,-2.79,0.0,-1.9800000000000002,0.0,extreme,,,-0.9042,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,-10.94,,,82.69000244140625,-17.15,3,-12.5902,-0.1921,,4,0
2021-01-27,1,-0.128,-0.128,,-0.128,-0.128,1.0,0.0,-0.128,-0.3381,-0.6571,0.3191,negative,348.55096435546875,-2.44,-0.9299999999999999,2.17,-2.4699999999999998,0.6,309.5934753417969,-2.79,-0.7100000000000001,2.71,-1.34,2.16,276.5592041015625,-1.9800000000000002,-0.9199999999999999,1.49,-2.73,-0.2,37.209999084472656,61.63999999999999,-1,-0.27999999999999997,0.0,-1.16,0.0,0.08,1.0,extreme,,,-0.1921,1.0,0.2266,-0.9042,1.0,0.0,,,,,,,,,,,,,,,,,,,-2.98,-10.94,,65.54000091552734,-28.33,3,-4.7629,-0.128,,2,0
2021-11-22,1,-0.1027,-0.1027,,-0.1027,-0.1027,1.0,0.0,-0.1027,-0.2204,-0.5563,0.3359,negative,439.5347595214844,-0.27999999999999997,0.43,1.32,0.03,2.64,388.37237548828125,-1.16,0.38999999999999996,2.36,1.1900000000000002,5.65,329.59478759765625,0.08,0.44,0.89,-1.2,-0.18,19.170000076293945,7.04,-1,-1.92,0.0,-3.0700000000000003,0.0,-1.03,0.0,normal,,,-0.128,1.0,0.3191,-0.1921,1.0,0.2266,-0.9042,1.0,0.0,,,,,,,,,,,,,,,,-2.44,-2.98,-10.94,37.209999084472656,-18.04,1,-1.9688,-0.1027,,0,0
2022-01-05,1,0.2023,0.2023,,0.2023,0.2023,0.0,1.0,0.2023,-0.009,-0.4184,0.4094,positive,441.843017578125,-1.92,-0.08,2.03,-1.91,0.37,374.2505187988281,-3.0700000000000003,-0.44,2.9899999999999998,-4.3,-3.2800000000000002,337.5171203613281,-1.03,-0.04,1.5,-0.21,1.96,19.729999542236328,16.68,-1,-3.8,0.0,-4.65,0.0,-2.8000000000000003,0.0,normal,,,-0.1027,1.0,0.3359,-0.128,1.0,0.3191,-0.1921,1.0,0.2266,-0.9042,1.0,0.0,,,,-0.2249,0.4091,0.8,,,,,,,-0.27999999999999997,-2.44,-2.98,19.170000076293945,0.56,1,3.9914,0.2023,,2,1
2022-06-13,1,-0.872,-0.872,,-0.872,-0.872,1.0,0.0,-0.872,-0.4405,-0.5009,0.0604,negative,354.8526306152344,-3.8,-2.55,2.18,-8.93,-6.65,268.5465393066406,-4.65,-3.15,2.7,-10.35,-8.790000000000001,285.3352355957031,-2.8000000000000003,-2.19,1.7399999999999998,-7.249999999999999,-4.9399999999999995,34.02000045776367,22.59,-1,-4.35,0.0,-5.48,0.0,-3.9600000000000004,0.0,elevated,,,0.2023,0.0,0.4094,-0.1027,1.0,0.3359,-0.128,1.0,0.3191,-0.1921,1.0,0.2266,-0.9042,1.0,0.0,-0.2185,0.3957,0.8,,,,,,,-1.92,-0.27999999999999997,-2.44,19.729999542236328,14.29,2,-29.6654,-0.872,,0,1
2022-09-13,1,-0.2732,-0.2732,,-0.2732,-0.2732,1.0,0.0,-0.2732,-0.3569,-0.4595,0.1026,negative,373.58697509765625,-4.35,-2.22,2.7199999999999998,0.6,-8.34,286.9311828613281,-5.48,-2.88,3.29,0.22,-11.82,292.43621826171875,-3.9600000000000004,-1.78,2.7,-0.15,-7.969999999999999,27.270000457763672,14.24,-1,5.5,1.0,7.380000000000001,1.0,3.66,1.0,elevated,,,-0.872,1.0,0.0604,0.2023,0.0,0.4094,-0.1027,1.0,0.3359,-0.128,1.0,0.3191,-0.1921,1.0,0.2266,-0.2347,0.396,0.8,,,,,,,-3.8,-1.92,-0.27999999999999997,34.02000045776367,-6.75,2,-7.4502,-0.2732,,1,0
2022-11-10,1,0.7003,0.7003,,0.7003,0.7003,0.0,1.0,0.7003,0.1717,-0.2486,0.4203,positive,376.638916015625,5.5,3.7199999999999998,2.5100000000000002,6.38,7.85,276.72998046875,7.380000000000001,4.82,3.49,8.55,5.18,317.4176940917969,3.66,2.73,1.72,5.4399999999999995,12.280000000000001,23.530000686645508,-9.81,1,-1.44,0.0,-1.4000000000000001,0.0,-1.04,0.0,normal,,,-0.2732,1.0,0.1026,-0.872,1.0,0.0604,0.2023,0.0,0.4094,-0.1027,1.0,0.3359,-0.128,1.0,0.3191,-0.0691,0.5816,0.6,,,,,,,-4.35,-3.8,-1.92,27.270000457763672,-3.74,1,16.4781,0.7003,,3,1
2023-03-10,1,-0.9274,-0.9274,,-0.9274,-0.9274,1.0,0.0,-0.9274,-0.3778,-0.372,-0.0058,negative,369.95159912109375,-1.44,-0.15,2.26,-4.52,-5.2,283.0826416015625,-1.4000000000000001,0.06,2.3800000000000003,-3.71,-4.35,302.9629211425781,-1.04,-0.16999999999999998,1.9900000000000002,-4.33,-4.99,24.799999237060547,9.69,-1,0.02,1.0,-0.33,0.0,0.26,1.0,normal,,,0.7003,0.0,0.4203,-0.2732,1.0,0.1026,-0.872,1.0,0.0604,0.2023,0.0,0.4094,-0.1027,1.0,0.3359,-0.234,0.6987,0.6,,,,,,,5.5,-4.35,-3.8,23.530000686645508,1.27,1,-22.9995,-0.9274,,4,1
2023-07-26,1,0.3182,0.3182,,0.3182,0.3182,0.0,1.0,0.3182,-0.0298,-0.2465,0.2167,positive,439.96826171875,0.02,-0.21,0.79,0.06999999999999999,4.43,371.4490966796875,-0.33,-0.27999999999999997,1.0699999999999998,-2.11,3.7600000000000002,339.45263671875,0.26,-0.33,0.89,1.38,4.8,13.1899995803833,-4.83,1,-0.88,0.0,-0.9400000000000001,0.0,-0.75,0.0,low,,,-0.9274,1.0,-0.0058,0.7003,0.0,0.4203,-0.2732,1.0,0.1026,-0.872,1.0,0.0604,0.2023,0.0,0.4094,-0.2108,0.7184,0.6,-0.2179,0.5512,0.7,,,,-1.44,5.5,-4.35,24.799999237060547,-11.61,0,4.1971,0.3182,,2,1
